texto_review,sentimento
"A entrega da americanas foi num prazo menor do que a previsão do site, porém é o segundo produto que eu compra que vem somente com a  caixa do próprio produto e não vem com uma outra caixa de papelão mais  reforçada para protegê-lo. Como os demais comentários aqui, achei o cabo de energia e a mangueira de sucção muito curtas, se faz necessário a utilização de uma extensão, o manual tem 4 páginas e é horrível, demorei um tempão pra descobrir que o você deve ficar pressionando o botão de liga pó uns 10 segundos pra ele se manter ligado é que o outro botão que, aparentemente, seria de desliga e, parecia travado, não serve pra nada, coisa que no manual não fala. E ainda tem uma peça avulsa redonda com uns furos que eu ainda não consegui descobrir pra que serve.",Negativo
demorou entrega mas produtos atendeu minhas expectativas,Neutro
Quem compra Epson sabe o lixo que leva para dentro de casa ou trabalho.,Negativo
"Parece ser bom, ainda não usei. Chegou antes do prazo, entregar super rápida",Neutro
"uso e aprovo, bateria boa uso internet e jogo e a bateria duravel",Positivo
Celular cegou com defeito. Não liga. Já pedi o vale compras para comprar outro produto. Lamentável LG. DETALHE: CAIXA DO CELULAR NÃO ESTAVA LACRADA.,Negativo
"Não posso opinar sobre o produto, pois ainda não recebi a mercadoria. A compra foi feita a 2 meses e ainda nada da mercadoria.  Péssimo atendimento. Estou muito insatisfeita.",Negativo
Fiz a compra há quase 2 meses e ainda não foi entregue. Espero que não venha com nenhum problema pra valer a pena.,Negativo
A americanas está péssima de fornecedor!!!! Até hoje não recebi o produto! Que absurdo!!!!!!!,Negativo
"Fiquei decepcionada, para mim não é um brinquedo e sim uma miniatura",Negativo
"Produto ótimo, com acabamento Premium,  rápido e sem problemas",Positivo
Gostei do produto. Tamanho menor do que eu esperava.,Neutro
"Se o vendedor escreve, em um site como americanas.com, ""Stnadby"" e ""precione""  eu fico até com medo de comprar.",Negativo
"Ñ recebi o produto,estava acompanhando o meu pedido no e-mail das lojas americanas e sendo q está no e-mail da Ballke produtos para saúde e ñ fui informada disso,e o produto voltou",Negativo
Produto bom.entrega no prazo .tudo ok!xxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx.,Neutro
"Forte porém muito barulhento , pra usar pela manhã é complicado!",Neutro
O produto é bom. Estou utilizando... está funcionando (como deve).,Neutro
Produto maravilhoso! Além de lindo é super eficaz.,Positivo
o relogio gerar chip dz 09 nao chegou nao na minha residencia  o outro relogio tambem nao foi entregue relogio touch,Negativo
"Material de qualidade ruim, parece que vai rasgar só de olhar. Parece falso. Era um presente e fiquei com vergonha de dar.",Negativo
VENDER UMA BOLA DE GUDE POR 35 REAIS TA DE BRINCADEIRA LIXO EU NAO QUERO  NEM VER ESSA LOL PELA FRENTE,Negativo
"Boneca linda e bem acabada,recomendo, chegou bem antes do previsto",Positivo
"Não tive problemas para instalar, está funcionando. Só não é possível saber se funciona realmente! Mas recebi dentro do prazo!",Neutro
"Ainda não instalei, mas parece ser muito bom. Veio tudo certo",Neutro
"A única ressalva é o tamanho da película, precisaria ser uns dois milímetros maior.",Positivo
"Melhorou bastante minha Wi-Fi, pois o roteador fica na DCE e o sinal não chegava nos quartos.",Positivo
primeira e ultima vez que compro na pre venda nessa loja americana ainda paguei caro nesse jogo podia ter comprado loja fisica ce burro pra la tnc.,Negativo
"Gostei muito deste celular, tem uma tela que é grande e que ocupa toda a frente, uma ótima resolução de imagem!!",Positivo
"esse produto é entregue em 2 caixas, e me entregaram as 2 caixas de cores diferentes, e quebrado, como precisei de ajuda para montar, só fui abrir depois do período de devolução, até abri um chamado mas não recebi retorno algum  em todo caso é um produto bonito e relativamente frágil",Neutro
"Produto é bom, porém veio uma das tantas meio arranhada, acredito que porque não veio na caixa da euro e deu algum problema, mas o produto em si é ótimo",Neutro
"ótimo, muito bom.. hdbiqewifqivcivweivcigviobeorovuoivhowua3hvwaoraewoihviufesbuisbhouersogeroughoeurshbeohovb",Positivo
